Time,Point,head,vulva,head_confidence,shift_ax0,shift_ax1
0,1,L,U,0.7878787878787878,1,-1
1,1,L,U,0.7878787878787878,-2,-1
2,1,L,D,0.7878787878787878,1,6
3,1,R,U,0.7878787878787878,-1,-2
4,1,R,D,0.7878787878787878,1,-2
5,1,R,D,0.7878787878787878,1,-3
6,1,R,D,0.7878787878787878,2,1
7,1,R,U,0.7878787878787878,-2,-2
8,1,L,D,0.7878787878787878,-1,-2
9,1,L,U,0.7878787878787878,0,4
10,1,L,U,0.7878787878787878,-1,2
11,1,L,U,0.7878787878787878,0,-5
12,1,R,U,0.7878787878787878,1,1
13,1,R,U,0.7878787878787878,2,-1
14,1,R,U,0.7878787878787878,1,3
15,1,L,D,0.7878787878787878,-1,-1
16,1,L,U,0.7878787878787878,1,-3
17,1,L,U,0.7878787878787878,1,-1
18,1,L,U,0.7878787878787878,-1,3
19,1,R,D,0.7878787878787878,0,-1
20,1,R,D,0.7878787878787878,-1,0
21,1,R,U,0.7878787878787878,-1,4
22,1,R,D,0.7878787878787878,0,-7
23,1,L,D,0.7878787878787878,0,-4
24,1,R,U,0.7878787878787878,1,1
25,1,L,D,0.7878787878787878,-1,5
26,1,L,U,0.7878787878787878,0,0
27,1,R,D,0.7878787878787878,0,2
28,1,L,U,0.7878787878787878,0,1
29,1,L,D,0.7878787878787878,-1,-10
30,1,R,U,0.7878787878787878,-2,0
31,1,L,U,0.7878787878787878,0,-1
32,1,R,U,0.7878787878787878,0,4
33,1,R,U,0.7878787878787878,2,-4
34,1,L,D,0.7878787878787878,1,-1
35,1,R,U,0.7878787878787878,1,-6
36,1,R,D,0.7878787878787878,-1,-1
37,1,R,U,0.7878787878787878,-2,-1
38,1,L,D,0.7878787878787878,1,-1
39,1,R,U,0.7878787878787878,0,-1
40,1,R,U,0.7878787878787878,-1,2
41,1,L,U,0.7878787878787878,1,1
42,1,R,D,0.7878787878787878,2,-5
43,1,R,D,0.7878787878787878,-1,1
44,1,R,D,0.7878787878787878,2,3
45,1,R,D,0.7878787878787878,1,0
46,1,R,D,0.7878787878787878,1,-1
47,1,R,U,0.7878787878787878,3,3
48,1,L,D,0.7878787878787878,1,7
49,1,L,D,0.7878787878787878,-1,6
50,1,R,U,0.7878787878787878,-3,-9
51,1,R,D,0.7878787878787878,-1,-5
52,1,R,D,0.7878787878787878,0,-1
53,1,R,D,0.7878787878787878,-1,-8
54,1,R,D,0.7878787878787878,1,-2
55,1,R,D,0.7878787878787878,3,-1
56,1,R,U,0.7878787878787878,1,-4
57,1,R,D,0.7878787878787878,0,-4
